# omega0=2, alpha=0.20
# theta0=-0.80, theta_dot0=0.12
# t_start=0.10, t_end=100.00, h=0.01
#   t          x(t)                 v(t)       
5.906527749815041e+01 1.829725440995144e-01 8.605593338270225e-02
5.918610798482696e+01 1.929418538106822e-01 7.890467947521269e-02
5.930693847150351e+01 2.020298325612789e-01 7.148281271022096e-02
5.942776895818007e+01 2.102090207538899e-01 6.387597550848718e-02
5.954859944485662e+01 2.174618542344931e-01 5.616179873498785e-02
5.966942993153317e+01 2.237795235699143e-01 4.840716988188359e-02
5.979026041820973e+01 2.291605511150537e-01 4.066630886807195e-02
5.991109090488628e+01 2.336091878922074e-01 3.297971616853665e-02
6.003192139156283e+01 2.371337369786058e-01 2.537400618931757e-02
6.015275187823939e+01 2.397449086584882e-01 1.786258979058236e-02
6.027358236491594e+01 2.414543055085580e-01 1.044712570107782e-02
6.039441285159249e+01 2.422731235404514e-01 3.119622905737990e-03
6.051524333826904e+01 2.422111393854160e-01 -4.134953824537550e-03
6.063607382494560e+01 2.412760342680459e-01 -1.133574437145358e-02
6.075690431162215e+01 2.394730842564072e-01 -1.850290090273694e-02
6.087773479829870e+01 2.368052241167648e-01 -2.565452670098490e-02
6.099856528497526e+01 2.332734701642314e-01 -3.280382379398963e-02
6.111939577165181e+01 2.288776668659731e-01 -3.995661194700121e-02
6.124022625832836e+01 2.236175036186973e-01 -4.710935872258757e-02
6.136105674500492e+01 2.174937329649075e-01 -5.424783078204327e-02
6.148188723168147e+01 2.105095102585526e-01 -6.134644177273992e-02
6.160271771835802e+01 2.026717679867713e-01 -6.836833359684513e-02
6.172354820503458e+01 1.939925359464898e-01 -7.526618732173404e-02
6.184437869171113e+01 1.844901213919200e-01 -8.198371932067729e-02
6.196520917838768e+01 1.741900710120092e-01 -8.845777935507450e-02
6.208603966506423e+01 1.631258488297326e-01 -9.462093220067587e-02
6.220687015174079e+01 1.513391802633903e-01 -1.004043750426219e-01
6.232770063841734e+01 1.388800318469062e-01 -1.057410210866337e-01
6.244853112509389e+01 1.258062174502340e-01 -1.105685673129218e-01
6.256936161177045e+01 1.121826440713445e-01 -1.148323623266065e-01
6.269019209844700e+01 9.808023206159888e-02 -1.184878995857714e-01
6.281102258512355e+01 8.357456462065725e-02 -1.215027819601405e-01
6.293185307180011e+01 6.874433822363629e-02 -1.238580347979505e-01
6.305268355847666e+01 5.366969813959956e-02 -1.255486847744577e-01
6.317351404515321e+01 3.843055043919984e-02 -1.265835682411944e-01
6.329434453182976e+01 2.310494329073330e-02 -1.269843823923103e-01
6.341517501850632e+01 7.767605742687027e-03 -1.267840417047013e-01
6.353600550518287e+01 -7.511278134284776e-03 -1.260244471119411e-01
6.365683599185942e+01 -2.266699721278631e-02 -1.247538128492501e-01
6.377766647853598e+01 -3.764090011862368e-02 -1.230237230947832e-01
