#  N   Simpon's     Milne     Qags_GSL
#-----------------------------------------
2.562292864456474639212046895409e+00  -1.250180939600103968700750556309e+01  -1.515332969423525888430503982818e+01  2.312856185683747511916408257093e+00
2.567026366159060213334441868938e+00  -1.251860058615392823355705331778e+01  -1.575538968556322139136227633571e+01  2.312856185683747511916408257093e+00
2.571708831808687811815161694540e+00  -1.253528159752316639696800848469e+01  -inf  2.312856185683747511916408257093e+00
2.576341350205793023775413530529e+00  -1.255536041900945143368062417721e+01  -1.575538968556322139136227633571e+01  2.312856185683747511916408257093e+00
2.580924975675619403858718214906e+00  -1.257469048426718671862545306794e+01  -1.575538968556322139136227633571e+01  2.312856185683747511916408257093e+00
2.585460729508500588025299293804e+00  -1.259372227312548631061872583814e+01  -1.505641968122720264489089458948e+01  2.312856185683747511916408257093e+00
2.589949601325707728705083354726e+00  -1.261050426727607920440732414136e+01  -1.527826843084355878943370043999e+01  2.312856185683747511916408257093e+00
2.594392550375426598208150608116e+00  -1.262860910855121332474482187536e+01  -1.575538968556322139136227633571e+01  2.312856185683747511916408257093e+00
2.598790506763115182309320516651e+00  -1.264614871697501818914588511689e+01  -1.527826843084355878943370043999e+01  2.312856185683747511916408257093e+00
2.603144372620182167565872077830e+00  -1.266372272796753684076520585222e+01  -1.497723843517957753590508218622e+01  2.312856185683747511916408257093e+00
2.607455023214668710096475479077e+00  -1.267911343015900449415767070604e+01  -inf  2.312856185683747511916408257093e+00
2.611723308007341870506934355944e+00  -1.269848483422674867426849232288e+01  -1.505641968122720264489089458948e+01  2.312856185683747511916408257093e+00
2.615950051656401154076547754812e+00  -1.271557913141487183850131259533e+01  -1.545435968989924013783365808195e+01  2.312856185683747511916408257093e+00
2.620136054973757566699532617349e+00  -1.272967430166188051998688024469e+01  -1.527826843084355878943370043999e+01  2.312856185683747511916408257093e+00
2.624282095835668293659637129167e+00  -1.274935173056590542728372383863e+01  -1.545435968989924013783365808195e+01  2.312856185683747511916408257093e+00
2.628388930050311600439272297081e+00  -1.276683072868460655513445090037e+01  -1.575538968556322139136227633571e+01  2.312856185683747511916408257093e+00
2.632457292184724018113683996489e+00  -1.278226183196352394588757306337e+01  -1.527826843084355878943370043999e+01  2.312856185683747511916408257093e+00
2.636487896353365556478820508346e+00  -1.279682580234125488516383484239e+01  -1.505641968122720264489089458948e+01  2.312856185683747511916408257093e+00
2.640481436970421924570473493077e+00  -1.281288557939514127781421848340e+01  -1.575538968556322139136227633571e+01  2.312856185683747511916408257093e+00
2.644438589467838607305338882725e+00  -1.282597075984892853739438578486e+01  -inf  2.312856185683747511916408257093e+00
2.648360010980931544821714851423e+00  -1.284583365632204632333923655096e+01  -1.527826843084355878943370043999e+01  2.312856185683747511916408257093e+00
